chrom	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	s94	s95	s96	s97	s98	s99	s100
NC_000001.11	24921	14966	12116	9862	8852	8126	7342	6832	6695	6375	6195	6093	5837	5782	5779	5633	5662	5609	5413	5381	5489	5655	5408	5618	5574	5392	5667	5623	5571	5687	5729	5920	5868	5958	6056	6200	6257	6525	6555	6684	6682	6968	7112	7489	7454	7724	7763	8150	8583	9397	9039	9225	9348	9801	9876	10331	10611	10914	11442	11730	12187	12581	13162	13783	14254	14630	15412	16048	16824	17763	18585	19572	20628	21697	23219	24957	26362	28154	30292	32226	34761	38214	40776	45249	49702	54312	60319	67095	75982	85724	98624	113604	132672	157950	192628	237611	304569	403596	563177	791517
NC_000002.12	15034	9808	7843	6757	6006	5462	5200	4885	4746	4566	4486	4441	4366	4233	4080	4147	4105	4050	4070	4032	4222	4125	4224	4187	4181	4187	4225	4356	4436	4458	4425	4369	4535	4626	4674	4723	4941	5057	5070	5300	5334	5495	5547	5754	5904	6194	6487	6719	7166	7857	7509	7589	7784	8060	8207	8614	8761	9247	9629	9840	10365	10864	11268	11492	12235	12593	13466	13861	14713	15336	16403	17044	17911	19135	20354	21837	23336	24949	26743	29234	31900	34613	38061	41852	46431	51615	57647	65489	74693	86541	99232	116739	137176	165597	202264	250580	317398	410397	551605	713381
NC_000003.12	9729	6117	4883	4157	3604	3314	3101	2883	2794	2795	2624	2530	2534	2639	2434	2454	2455	2358	2293	2307	2327	2364	2413	2466	2415	2393	2468	2481	2516	2506	2562	2495	2552	2616	2646	2729	2773	2775	2902	2942	2912	3000	3131	3206	3279	3340	3508	3581	3864	4589	4212	4306	4298	4518	4419	4753	4871	4965	5115	5263	5640	5666	5936	6151	6306	6675	7120	7292	7662	8089	8421	8798	9337	9639	10539	11182	11975	12836	13864	14994	16248	18258	19644	21569	24034	26821	30456	34363	39449	45503	53961	64481	79493	98654	127315	167546	232418	340204	523392	827143
NC_000004.12	11161	7040	5709	5072	4405	4112	3760	3614	3538	3467	3368	3250	3330	3048	3243	3161	3135	3092	3070	2966	2991	3099	3048	3024	3077	3058	3026	3095	3255	3307	3208	3175	3397	3421	3306	3465	3579	3596	3557	3797	3723	3948	3906	4103	4199	4470	4578	4823	5211	5614	5430	5538	5506	5723	5790	5971	6361	6378	6765	6899	7013	7475	7574	7961	8293	8767	9306	9699	10163	10815	11382	11858	12710	13306	14317	15308	16425	17395	18925	20296	21762	23979	26141	28852	31476	35039	39103	44709	50692	57845	67182	78275	93104	110966	137135	171993	223000	297532	394173	448210
NC_000005.10	14501	8891	6803	5729	5086	4423	4175	4007	3696	3687	3425	3467	3327	3322	3207	3166	3089	3080	2963	2980	3006	2941	3001	2846	2832	2761	2852	2934	2949	2924	2884	2934	2915	3084	3031	3136	3090	3238	3371	3420	3412	3474	3551	3657	3745	3674	3902	4055	4411	4881	4696	4864	4891	5169	5292	5403	5508	5608	5965	6072	6496	6598	6897	7122	7616	7821	8254	8704	9115	9292	10175	10648	11350	12127	12670	13646	14656	15920	17080	18354	20194	22372	24760	27592	30519	33784	37934	43398	49432	57513	66294	78268	93622	112378	137987	171646	218080	287328	396115	545010
NC_000006.12	11351	7250	5814	4730	4568	3982	3684	3443	3328	3221	3342	3251	3076	3041	3066	2991	3118	3071	3113	3064	2985	3064	2908	3120	3101	3019	3001	3051	3042	3159	3180	3231	3358	3364	3544	3515	3700	3686	3714	3911	3956	4074	4208	4383	4357	4623	4743	5019	5301	5489	5509	5729	5718	5944	6199	6395	6546	6837	7306	7451	7775	8238	8456	8867	9357	9889	10317	10950	11541	12433	13210	14121	15016	16038	17032	18527	19826	21816	23407	25243	27315	30221	32820	36168	40137	44602	50286	55766	63099	71103	80566	94064	109025	127535	150653	179196	215127	255763	290081	282730
NC_000007.14	17634	10982	8289	6795	5974	5509	4870	4770	4548	4220	4158	4062	3797	3724	3670	3636	3718	3401	3509	3432	3355	3389	3177	3193	3194	3166	3157	3228	3269	3267	3248	3206	3238	3297	3383	3539	3418	3528	3467	3607	3701	3764	3774	3905	4021	3995	4153	4314	4785	5127	4721	4890	5040	5270	5257	5538	5690	5719	5976	6212	6377	6441	6746	6912	7267	7658	8069	8353	8485	8933	9402	9840	10452	10836	11332	11985	12897	13823	14489	15546	16797	17916	19297	20977	23104	25801	28538	32111	36513	41663	48688	57622	69024	85114	107511	141201	194370	287054	468356	840567
NC_000008.11	16583	10260	7532	6431	5565	4805	4552	4261	3972	3716	3573	3454	3383	3317	3148	3147	3017	3045	3000	3014	2976	2991	2909	2948	3044	2913	2960	3011	2977	3125	3079	3154	3231	3162	3317	3319	3274	3430	3510	3588	3639	3896	3955	3963	4151	4113	4397	4517	4725	5172	5218	5186	5235	5571	5767	5911	6156	6250	6766	6827	7136	7460	7768	8046	8415	8601	9168	9676	10016	10482	11255	11577	12208	13073	13588	14445	15471	16440	17219	18189	19268	20676	22057	23308	25125	26936	28813	30794	33116	35440	38962	42761	47038	53200	61352	74623	98036	148537	285894	730435
NC_000009.12	16379	10162	7355	6215	5373	4856	4436	4215	3944	3757	3619	3522	3486	3387	3241	3288	3170	3189	3138	3066	3078	3045	3112	3113	3163	3214	3076	3225	3183	3235	3140	3235	3298	3314	3342	3318	3356	3438	3514	3589	3648	3730	3796	3887	3930	4019	4112	4364	4408	4885	4658	4832	4975	5123	5216	5150	5413	5614	5765	6038	6233	6333	6559	6993	7180	7648	7771	8103	8723	9115	9543	10153	10594	11294	11967	12545	13462	14647	15723	16772	18217	19821	21374	23474	25846	28617	32129	36148	40515	46164	53000	61904	72483	86756	105551	131223	166306	217594	289799	398102
NC_000010.11	17152	7592	5881	5035	4682	4350	3906	3698	3604	3452	3335	3432	3287	3469	3392	4085	3693	3179	3087	3240	3080	3268	3173	3076	3273	3249	3280	3369	3372	3551	3639	3551	3573	3619	3816	3988	3948	4097	4144	4439	4405	4657	4694	4804	5018	5444	5534	5666	6039	6319	6393	6559	6552	6907	6969	7287	7428	7882	8127	8430	8811	9290	9771	10078	10455	11057	11459	12344	12922	13706	14394	15324	16314	17486	18547	19781	21105	23079	24910	26715	28808	31896	34107	38033	41589	45922	50763	56556	63706	71041	80785	92217	106232	122415	142336	166314	196831	226634	243996	214244
NC_000011.10	14035	9331	7433	6449	5747	5267	5061	4737	4466	4328	4173	4179	3924	3874	3636	3880	3590	3777	3819	3857	3817	3873	3590	3632	3597	3439	3559	3557	3592	3720	3719	3737	3613	3787	3765	3757	3797	3746	3855	3854	3956	3973	4083	4214	4284	4403	4556	4801	4832	5393	5041	5297	5310	5497	5565	5913	6038	6181	6233	6606	6717	7070	7143	7466	7800	8186	8451	9000	9100	9588	10029	10425	11343	11926	12332	13271	13987	14852	16069	17070	18574	20073	21726	23836	26153	28562	31883	35744	40041	45658	52585	61423	72246	86108	105240	132530	172478	231702	329779	483533
NC_000012.12	12340	8493	6497	5669	4690	4152	3852	3738	3495	3333	3211	3151	3061	2885	2870	2858	2808	2866	2793	2745	2710	2847	2751	2755	2815	2703	2870	2897	2841	2827	2974	2954	3016	3011	3020	3026	3108	3307	3280	3329	3448	3462	3487	3564	3745	3772	3963	4161	4214	4677	4557	4612	4687	4805	4995	5128	5275	5590	5579	5744	6058	6255	6289	6505	6690	7130	7320	7743	8155	8525	9046	9366	9877	10486	11116	11744	12721	13621	14833	15677	17253	18540	20207	22610	24750	27224	30466	34281	39369	44590	52370	61070	73187	89014	110552	139189	183082	249333	351983	473107
