sample_id	chrom	n_0	n_10	n_20	n_30
DTB-003-BL	NC_000001.11	3781179	2028986	683743	188386
DTB-005-BL	NC_000001.11	3669686	1574862	492742	139566
DTB-008-BL	NC_000001.11	4002379	2444946	625597	79093
DTB-009-BL	NC_000001.11	4044515	2830078	1565070	780744
DTB-011-BL	NC_000001.11	3816996	1651304	244325	28863
DTB-018-BL	NC_000001.11	4029863	2473410	657523	93247
DTB-019-PRO	NC_000001.11	3724746	1540270	268801	37628
DTB-020-BL	NC_000001.11	3841035	1789277	294200	33317
DTB-021-BL	NC_000001.11	3811743	1615052	227142	26147
DTB-022-BL	NC_000001.11	3828617	1945489	506093	83864
DTB-023-BL	NC_000001.11	3873616	1894127	357333	42829
DTB-024-PRO	NC_000001.11	3846582	1834538	424040	70072
DTB-034-BL	NC_000001.11	3996145	2365229	583558	74508
DTB-035-BL	NC_000001.11	3894031	2016883	422256	54293
DTB-036-BL	NC_000001.11	4078360	2924473	1262695	310252
DTB-037-BL	NC_000001.11	3953901	2117663	466087	62292
DTB-040-BL	NC_000001.11	4115867	3036910	1339376	367454
DTB-042-BL	NC_000001.11	3767616	1412160	159075	18892
DTB-053-BL	NC_000001.11	3765102	2083829	907649	269304
DTB-055-PRO	NC_000001.11	3890429	2005113	479114	76037
DTB-059-BL	NC_000001.11	3823889	1787625	328624	45945
DTB-060-BL	NC_000001.11	3784854	1523158	224305	31324
DTB-061-BL	NC_000001.11	3775623	2037976	619437	122462
DTB-063-BL	NC_000001.11	3778381	1626138	301035	48977
DTB-064-BL	NC_000001.11	3940552	2354219	972543	284615
DTB-067-PRO	NC_000001.11	3725831	2197875	924182	250493
DTB-069-BL	NC_000001.11	3321944	1690634	662570	169980
DTB-071-BL	NC_000001.11	3766942	1929841	788624	373545
DTB-074-BL	NC_000001.11	3718044	1646665	397390	70231
DTB-077-PRO	NC_000001.11	3794204	1616700	234046	26998
DTB-080-BL	NC_000001.11	3852639	1771946	287157	32910
DTB-083-BL	NC_000001.11	3705227	1572753	250109	30520
