chrom	chromStart	chromEnd	size	type
chr1	0	10000	10000	telomere
chr1	207666	257666	50000	contig
chr1	297968	347968	50000	contig
chr1	535988	585988	50000	contig
chr1	2702781	2746290	43509	scaffold
chr1	12954384	13004384	50000	scaffold
chr1	16799163	16849163	50000	scaffold
chr1	29552233	29553835	1602	scaffold
chr1	121976459	122026459	50000	contig
chr1	122224535	122224635	100	contig
chr1	122503147	122503247	100	contig
chr1	124785432	124785532	100	contig
chr1	124849129	124849229	100	contig
chr1	124932724	124932824	100	contig
chr1	124977944	124978326	382	scaffold
chr1	125013060	125013223	163	scaffold
chr1	125026048	125026071	23	scaffold
chr1	125029104	125029169	65	scaffold
chr1	125103213	125103233	20	scaffold
chr1	125130246	125131847	1601	scaffold
chr1	125171347	125173583	2236	scaffold
chr1	125184587	143184587	18000000	heterochromatin
chr1	223558935	223608935	50000	contig
chr1	228558364	228608364	50000	scaffold
chr1	248946422	248956422	10000	telomere
chr10	0	10000	10000	telomere
chr10	38529907	38573338	43431	scaffold
chr10	38906036	38911580	5544	scaffold
chr10	38913438	38918269	4831	scaffold
chr10	39229918	39230136	218	scaffold
chr10	39238955	39239118	163	scaffold
chr10	39254773	39254793	20	scaffold
chr10	39338430	39338450	20	scaffold
chr10	39341685	39341705	20	scaffold
chr10	39409792	39410237	445	scaffold
chr10	39479351	39479371	20	scaffold
chr10	39497198	39497296	98	scaffold
chr10	39570652	39570672	20	scaffold
chr10	39585287	39590435	5148	scaffold
chr10	39593013	39597435	4422	scaffold
chr10	39598812	39598832	20	scaffold
chr10	39602699	39606089	3390	scaffold
chr10	39607431	39607451	20	scaffold
chr10	39613189	39615618	2429	scaffold
chr10	39617141	39617255	114	scaffold
chr10	39622353	39625274	2921	scaffold
chr10	39635037	39635057	20	scaffold
chr10	39636682	39686682	50000	contig
chr10	39935900	39936000	100	contig
chr10	41497440	41497540	100	contig
chr10	41545720	41545820	100	contig
chr10	41593521	41693521	100000	contig
chr10	41916265	42066265	150000	scaffold
chr10	47780368	47870368	90000	scaffold
chr10	124121200	124121502	302	scaffold
chr10	131597030	131597130	100	scaffold
chr10	133690466	133740466	50000	scaffold
chr10	133787422	133797422	10000	telomere
chr11	0	10000	10000	telomere
chr11	10000	60000	50000	contig
chr11	50821348	50871348	50000	contig
chr11	50871348	51078348	207000	heterochromatin
chr11	51090317	51090417	100	contig
chr11	54342399	54342499	100	contig
chr11	54425074	54525074	100000	contig
chr11	70955696	71055696	100000	scaffold
chr11	87978202	88002896	24694	contig
chr11	96566178	96566364	186	scaffold
chr11	135076622	135086622	10000	telomere
chr12	0	10000	10000	telomere
chr12	7083650	7084650	1000	contig
chr12	34719407	34769407	50000	contig
chr12	34816611	34816711	100	contig
chr12	34820185	34820285	100	contig
chr12	34822289	34829237	6948	scaffold
chr12	34832088	34832188	100	contig
chr12	34835195	34835295	100	contig
chr12	37185252	37235252	50000	contig
chr12	37240944	37245716	4772	scaffold
chr12	37255332	37257055	1723	scaffold
chr12	37333222	37333242	20	scaffold
chr12	37334747	37334767	20	scaffold
chr12	37379851	37380460	609	scaffold
chr12	37460032	37460128	96	scaffold
chr12	132223362	132224362	1000	contig
chr12	133265309	133275309	10000	telomere
chr13	0	10000	10000	telomere
chr13	10000	16000000	15990000	short_arm
chr13	16022537	16022637	100	contig
chr13	16110659	16110759	100	contig
chr13	16164892	16164992	100	contig
chr13	16228527	16228627	100	contig
chr13	16249297	16249397	100	contig
chr13	16256067	16256167	100	contig
chr13	16259412	16259512	100	contig
chr13	16282073	16282173	100	contig
chr13	17416384	17416484	100	contig
chr13	17416824	17416924	100	contig
chr13	17417264	17417364	100	contig
chr13	17418562	17418662	100	contig
chr13	18051248	18071248	20000	heterochromatin
chr13	18071248	18171248	100000	contig
chr13	18358106	18408106	50000	contig
chr13	86202979	86252979	50000	contig
chr13	111703855	111753855	50000	scaffold
chr13	111793441	111843441	50000	contig
chr13	113673020	113723020	50000	contig
chr13	114354328	114364328	10000	telomere
chr14	0	10000	10000	telomere
chr14	10000	16000000	15990000	short_arm
chr14	16022537	16022637	100	contig
chr14	16053976	16054459	483	scaffold
chr14	16061677	16061993	316	scaffold
chr14	16086625	16089562	2937	scaffold
chr14	16096530	16096630	100	contig
chr14	16105376	16113232	7856	scaffold
chr14	16130858	16133335	2477	scaffold
chr14	16140527	16140627	100	contig
chr14	16228649	16228749	100	contig
chr14	16282882	16282982	100	contig
chr14	16346517	16346617	100	contig
chr14	16367287	16367387	100	contig
chr14	16374057	16374157	100	contig
chr14	16377402	16377502	100	contig
chr14	16400063	16400163	100	contig
chr14	16404348	16404448	100	contig
chr14	17538659	17538759	100	contig
chr14	17539099	17539199	100	contig
chr14	17539539	17539639	100	contig
chr14	17540837	17540937	100	contig
chr14	18173523	18223523	50000	contig
chr14	18712644	18862644	150000	scaffold
chr14	19511713	19611713	100000	scaffold
chr14	106883718	107033718	150000	contig
chr14	107033718	107043718	10000	telomere
chr15	0	10000	10000	telomere
chr15	10000	17000000	16990000	short_arm
chr15	17049135	17049334	199	scaffold
chr15	17076577	17076597	20	scaffold
chr15	17083573	17083673	100	contig
chr15	17498951	17499051	100	contig
chr15	18355008	18355108	100	contig
chr15	19725254	19775254	50000	contig
chr15	20689304	20729746	40442	scaffold
chr15	21193490	21242090	48600	scaffold
chr15	21778502	21828502	50000	scaffold
chr15	22308242	22358242	50000	contig
chr15	23226874	23276874	50000	contig
chr15	84270066	84320066	50000	scaffold
chr15	101981189	101991189	10000	telomere
chr16	0	10000	10000	telomere
chr16	18436486	18486486	50000	contig
chr16	33214595	33264595	50000	scaffold
chr16	33392411	33442411	50000	scaffold
chr16	34289329	34339329	50000	contig
chr16	34521510	34571510	50000	contig
chr16	34576805	34580965	4160	scaffold
chr16	34584085	34584622	537	scaffold
chr16	36260386	36260628	242	scaffold
chr16	36261158	36311158	50000	contig
chr16	36334460	36334560	100	contig
chr16	36337566	36337666	100	contig
chr16	38265669	38265769	100	contig
chr16	38269096	38275758	6662	scaffold
chr16	38280682	46280682	8000000	heterochromatin
chr16	46280682	46380682	100000	contig
chr16	90228345	90328345	100000	contig
chr16	90328345	90338345	10000	telomere
chr17	0	10000	10000	telomere
chr17	10000	60000	50000	contig
chr17	448188	488987	40799	contig
chr17	490395	491111	716	scaffold
chr17	21795850	21814103	18253	scaffold
chr17	21860937	21860957	20	scaffold
chr17	21976511	21976531	20	scaffold
chr17	21983452	21983554	102	scaffold
chr17	21984549	21985100	551	scaffold
chr17	21992061	22042061	50000	contig
chr17	22089188	22089410	222	scaffold
chr17	22763679	22813679	50000	contig
chr17	23194918	23195018	100	contig
chr17	26566633	26566733	100	contig
chr17	26616164	26616264	100	contig
chr17	26627010	26627349	339	scaffold
chr17	26638554	26638627	73	scaffold
chr17	26640334	26640620	286	scaffold
chr17	26643468	26643843	375	scaffold
chr17	26698590	26698998	408	scaffold
chr17	26720420	26721376	956	scaffold
chr17	26735204	26735774	570	scaffold
chr17	26805755	26805775	20	scaffold
chr17	26820065	26820266	201	scaffold
chr17	26859724	26860166	442	scaffold
chr17	26876740	26876850	110	scaffold
chr17	26880254	26880354	100	contig
chr17	26885980	26935980	50000	contig
chr17	81742542	81792542	50000	contig
chr17	81796281	81797727	1446	scaffold
chr17	81798717	81799133	416	scaffold
chr17	83247441	83257441	10000	telomere
chr18	0	10000	10000	telomere
chr18	15410899	15460899	50000	contig
chr18	15780377	15780477	100	contig
chr18	15788380	15791047	2667	scaffold
chr18	15797755	15797855	100	contig
chr18	20561439	20561539	100	contig
chr18	20564714	20571466	6752	scaffold
chr18	20582635	20582735	100	contig
chr18	20603147	20603247	100	contig
chr18	20696289	20696389	100	contig
chr18	20736025	20736125	100	contig
chr18	20813083	20813183	100	contig
chr18	20830724	20831341	617	scaffold
chr18	20835547	20835592	45	scaffold
chr18	20839697	20839797	100	contig
chr18	20861206	20911206	50000	contig
chr18	46969912	47019912	50000	scaffold
chr18	54536574	54537528	954	scaffold
chr18	80263285	80363285	100000	contig
chr18	80363285	80373285	10000	telomere
chr19	0	10000	10000	telomere
chr19	10000	60000	50000	contig
chr19	24448980	24498980	50000	heterochromatin
chr19	24552652	24552752	100	contig
chr19	24891256	24891356	100	contig
chr19	24895790	24895890	100	contig
chr19	24898313	24904771	6458	scaffold
chr19	24908589	24908689	100	contig
chr19	27190874	27240874	50000	heterochromatin
chr19	58607616	58617616	10000	telomere
chr2	0	10000	10000	telomere
chr2	16145119	16146119	1000	contig
chr2	89330679	89530679	200000	contig
chr2	89685992	89753992	68000	scaffold
chr2	90402511	91402511	1000000	heterochromatin
chr2	92138145	92188145	50000	contig
chr2	94090557	94140557	50000	contig
chr2	94293015	94496015	203000	contig
chr2	97439618	97489618	50000	scaffold
chr2	238903659	238904047	388	scaffold
chr2	242183529	242193529	10000	telomere
chr20	0	10000	10000	telomere
chr20	10000	60000	50000	contig
chr20	63215	63840	625	scaffold
chr20	66235	66335	100	scaffold
chr20	26348365	26348390	25	scaffold
chr20	26364240	26365414	1174	scaffold
chr20	26382164	26382616	452	scaffold
chr20	26386232	26436232	50000	contig
chr20	26586955	26587055	100	contig
chr20	26590875	26596363	5488	scaffold
chr20	26608045	26608145	100	contig
chr20	28494539	28494639	100	contig
chr20	28499358	28504764	5406	scaffold
chr20	28508897	28508997	100	contig
chr20	28556953	28557053	100	contig
chr20	28646195	28646295	100	contig
chr20	28648008	28648108	100	contig
chr20	28728874	28728974	100	contig
chr20	28751119	28752590	1471	scaffold
chr20	28754750	28754770	20	scaffold
chr20	28757831	28757851	20	scaffold
chr20	28790010	28790158	148	scaffold
chr20	28820603	28820663	60	scaffold
chr20	28843401	28859997	16596	scaffold
chr20	28861347	28861367	20	scaffold
chr20	28867524	28868452	928	scaffold
chr20	28875884	28875904	20	scaffold
chr20	28889198	28889218	20	scaffold
chr20	28890335	28896362	6027	scaffold
chr20	29125693	29125793	100	contig
chr20	29204668	29204768	100	contig
chr20	29271546	29271826	280	scaffold
chr20	29307456	29307476	20	scaffold
chr20	29315342	29315821	479	scaffold
chr20	29362154	29362183	29	scaffold
chr20	29412507	29413577	1070	scaffold
chr20	29447838	29447883	45	scaffold
chr20	29452158	29452178	20	scaffold
chr20	29538733	29538783	50	scaffold
chr20	29540234	29540284	50	scaffold
chr20	29556103	29556141	38	scaffold
chr20	29562970	29563363	393	scaffold
chr20	29564411	29565353	942	scaffold
chr20	29592644	29592737	93	scaffold
chr20	29651590	29651610	20	scaffold
chr20	29697363	29697630	267	scaffold
chr20	29884750	29884850	100	contig
chr20	29917304	29917404	100	contig
chr20	30038348	30088348	50000	contig
chr20	30425128	30456077	30949	contig
chr20	30761898	30811898	50000	contig
chr20	31001508	31051508	50000	contig
chr20	31107036	31157036	50000	scaffold
chr20	31159119	31161625	2506	scaffold
chr20	64334167	64434167	100000	contig
chr20	64434167	64444167	10000	telomere
chr21	0	10000	10000	telomere
chr21	10000	5010000	5000000	short_arm
chr21	5166246	5216246	50000	contig
chr21	5393558	5443558	50000	contig
chr21	5449012	5499012	50000	contig
chr21	5627596	5677596	50000	contig
chr21	5796009	5846009	50000	contig
chr21	5916593	5966593	50000	contig
chr21	6161371	6211371	50000	contig
chr21	6377258	6427258	50000	contig
