chrom	start	end
chr1	122026459	124932724
chr10	39686682	41593521
chr11	51078348	54425074
chr12	34769407	37185252
chr13	16000000	18051248
chr14	16000000	18173523
chr15	17083673	19725254
chr16	36311158	38265669
chr17	22813679	26616164
chr18	15460899	20861206
chr19	24498980	27190874
chr2	92188145	94090557
chr20	26436232	30038348
chr21	10864560	12915808
chr22	12954788	15054318
chr3	90772458	93655574
chr4	49712061	51743951
chr5	46485900	50059807
chr6	58553888	59829934
chr7	58169653	61528020
chr8	44033744	45877265
chr9	43389635	45518558
chrX	58605579	62412542
chrY	10316944	10544039
